Tempo,Na,Cl,NaCl
8.600000000000007,27.0,17.0,28.0
8.616666666666674,27.0,17.0,28.0
8.633333333333342,27.0,17.0,28.0
8.65000000000001,27.0,17.0,28.0
8.666666666666677,27.0,17.0,28.0
8.683333333333344,27.0,17.0,28.0
8.700000000000012,27.0,17.0,28.0
8.71666666666668,27.0,17.0,28.0
8.733333333333347,27.0,17.0,28.0
8.750000000000014,27.0,17.0,28.0
8.766666666666682,27.0,17.0,28.0
8.78333333333335,27.0,17.0,28.0
8.800000000000017,26.0,16.0,29.0
8.816666666666684,26.0,16.0,29.0
8.833333333333352,26.0,16.0,29.0
8.85000000000002,26.0,16.0,29.0
8.866666666666687,26.0,16.0,29.0
8.883333333333354,26.0,16.0,29.0
8.900000000000022,26.0,16.0,29.0
8.91666666666669,26.0,16.0,29.0
8.933333333333357,26.0,16.0,29.0
8.950000000000024,26.0,16.0,29.0
8.966666666666692,25.0,15.0,30.0
8.98333333333336,25.0,15.0,30.0
9.000000000000027,25.0,15.0,30.0
9.016666666666694,25.0,15.0,30.0
9.033333333333362,25.0,15.0,30.0
9.05000000000003,25.0,15.0,30.0
9.066666666666697,25.0,15.0,30.0
9.083333333333364,25.0,15.0,30.0
9.100000000000032,25.0,15.0,30.0
9.1166666666667,25.0,15.0,30.0
9.133333333333367,25.0,15.0,30.0
9.150000000000034,25.0,15.0,30.0
9.166666666666702,25.0,15.0,30.0
9.183333333333369,25.0,15.0,30.0
9.200000000000037,25.0,15.0,30.0
9.216666666666704,25.0,15.0,30.0
9.233333333333372,25.0,15.0,30.0
9.250000000000039,25.0,15.0,30.0
9.266666666666707,25.0,15.0,30.0
9.283333333333374,25.0,15.0,30.0
9.300000000000042,25.0,15.0,30.0
9.316666666666709,25.0,15.0,30.0
9.333333333333377,25.0,15.0,30.0
9.350000000000044,25.0,15.0,30.0
9.366666666666712,25.0,15.0,30.0
9.383333333333379,25.0,15.0,30.0
9.400000000000047,25.0,15.0,30.0
9.416666666666714,25.0,15.0,30.0
9.433333333333382,25.0,15.0,30.0
9.450000000000049,25.0,15.0,30.0
9.466666666666717,25.0,15.0,30.0
9.483333333333384,25.0,15.0,30.0
9.500000000000052,25.0,15.0,30.0
9.516666666666719,25.0,15.0,30.0
9.533333333333387,25.0,15.0,30.0
9.550000000000054,25.0,15.0,30.0
9.566666666666721,25.0,15.0,30.0
9.583333333333389,25.0,15.0,30.0
9.600000000000056,25.0,15.0,30.0
9.616666666666724,25.0,15.0,30.0
9.633333333333391,25.0,15.0,30.0
9.650000000000059,25.0,15.0,30.0
9.666666666666726,25.0,15.0,30.0
9.683333333333394,25.0,15.0,30.0
9.700000000000061,25.0,15.0,30.0
9.716666666666729,25.0,15.0,30.0
9.733333333333396,25.0,15.0,30.0
9.750000000000064,25.0,15.0,30.0
9.766666666666731,25.0,15.0,30.0
9.783333333333399,25.0,15.0,30.0
9.800000000000066,25.0,15.0,30.0
9.816666666666734,25.0,15.0,30.0
9.833333333333401,25.0,15.0,30.0
9.850000000000069,25.0,15.0,30.0
9.866666666666736,25.0,15.0,30.0
9.883333333333404,25.0,15.0,30.0
9.900000000000071,25.0,15.0,30.0
9.916666666666739,25.0,15.0,30.0
9.933333333333406,25.0,15.0,30.0
9.950000000000074,25.0,15.0,30.0
9.966666666666741,25.0,15.0,30.0
9.983333333333409,25.0,15.0,30.0
10.000000000000076,25.0,15.0,30.0
10.016666666666744,25.0,15.0,30.0
10.033333333333411,25.0,15.0,30.0
10.050000000000079,25.0,15.0,30.0
10.066666666666746,25.0,15.0,30.0
10.083333333333414,25.0,15.0,30.0
10.100000000000081,25.0,15.0,30.0
10.116666666666749,25.0,15.0,30.0
10.133333333333416,25.0,15.0,30.0
10.150000000000084,25.0,15.0,30.0
10.166666666666751,25.0,15.0,30.0
10.183333333333419,25.0,15.0,30.0
10.200000000000086,25.0,15.0,30.0
10.216666666666754,25.0,15.0,30.0
10.233333333333421,25.0,15.0,30.0
10.250000000000089,25.0,15.0,30.0
10.266666666666756,25.0,15.0,30.0
10.283333333333424,25.0,15.0,30.0
10.300000000000091,25.0,15.0,30.0
10.316666666666759,25.0,15.0,30.0
10.333333333333426,25.0,15.0,30.0
10.350000000000094,25.0,15.0,30.0
10.366666666666761,25.0,15.0,30.0
10.383333333333429,25.0,15.0,30.0
10.400000000000096,25.0,15.0,30.0
10.416666666666764,25.0,15.0,30.0
